0, 2, 15192, 0.013165
10, 7, 5104, 0.137147
20, 8, 1255, 0.637450
30, 13, 6088, 0.213535
40, 15, 1180, 1.271186
50, 25, 4817, 0.518995
60, 7, 995, 0.703518
70, 17, 2233, 0.761308
80, 31, 1560, 1.987179
90, 39, 2315, 1.684665
100, 5, 474, 1.054852
110, 0, 140, 0.000000
120, 19, 985, 1.928934
130, 11, 1252, 0.878594
140, 13, 721, 1.803051
150, 9, 1203, 0.748130
160, 21, 848, 2.476415
170, 0, 224, 0.000000
180, 1, 618, 0.161812
190, 24, 904, 2.654867
200, 8, 1022, 0.782779
210, 0, 176, 0.000000
220, 0, 5, 0.000000
230, 1, 1030, 0.097087
240, 4, 570, 0.701754
250, 2, 743, 0.269179
260, 3, 759, 0.395257
270, 0, 166, 0.000000
280, 0, 164, 0.000000
290, 1, 757, 0.132100
300, 2, 371, 0.539084
310, 0, 5, 0.000000
320, 0, 887, 0.000000
330, 1, 239, 0.418410
340, 0, 75, 0.000000
350, 11, 941, 1.168969
360, 2, 147, 1.360544
370, 0, 22, 0.000000
380, 0, 334, 0.000000
390, 0, 208, 0.000000
400, 0, 219, 0.000000
410, 0, 555, 0.000000
420, 0, 661, 0.000000
430, 0, 73, 0.000000
440, 0, 5, 0.000000
450, 9, 1293, 0.696056
460, 0, 430, 0.000000
470, 15, 733, 2.046385
480, 4, 953, 0.419727
490, 0, 226, 0.000000
500, 1, 168, 0.595238
510, 12, 747, 1.606426
520, 2, 239, 0.836820
530, 0, 702, 0.000000
540, 15, 860, 1.744186
550, 0, 129, 0.000000
560, 4, 732, 0.546448
570, 10, 1384, 0.722543
580, 0, 10, 0.000000
590, 0, 5, 0.000000
600, 3, 1182, 0.253807
610, 15, 1036, 1.447876
620, 15, 560, 2.678571
630, 1, 494, 0.202429
640, 0, 20, 0.000000
650, 0, 835, 0.000000
660, 2, 1308, 0.152905
670, 0, 618, 0.000000
680, 28, 4680, 0.598291
690, 6, 5902, 0.101660
700, 7, 7802, 0.089721
710, 31, 7406, 0.418580
720, 23, 6255, 0.367706
